%dict_expr_name%
1,Indole production,吲哚
2,Methyl red,MR
3,Voges Proskauer ,VP
4,Citrate (Simmons) ,柠檬酸盐
5,Hydrogen sulfide (TSI) ,H2S
6,Urea hydrolysis ,尿酶
7,Phenylalanine deaminase ,苯丙氨酸
8,Lysine decarboxylase ,赖氨酸脱羧酶
9,Arginine dihydrolase ,精氨酸双水解酶
10,Ornithine decarboxylase ,鸟氨酸脱羧酶
11,Motility ,动力
12,Gelatin hydrolysis (22℃) ,明胶
13,Growth in KCN ,氰化钾生长
14,Malonate utilization ,丙二酸盐
15,Esculin hydrolysis ,七叶苷水解
16,Tartrate Jordan’s ,酒石酸盐
17,Acetate utilization ,醋酸盐利用
18,Lipase (corn oil) ,酯酶
19,DNase (25℃) ,DNA酶
20,Nitrate oxidized to nitrite ,硝酸盐还原
21,Oxidase Kovacs ,氧化酶
22,ONPG test ,ONPG
23,Yellow pigment ,黄色素
24,d-Glucose acid ,葡萄糖产酸
25,d-Glucose gas ,葡萄糖产气
26,Adonitol ,侧金盏花醇
27,l-Arabinose ,阿拉伯糖
28,d-Arabitol ,阿拉伯醇
29,Cellobiose ,纤维二糖
30,Dulcitol ,卫矛醇
31,Erythritol ,丁四醇
32,Glycerol ,甘油
33,myo-Inositol ,肌醇
34,Lactose ,乳糖
35,Maltose ,麦芽糖
36,d-Mannitol ,甘露醇
37,d-Mannose ,甘露糖
38,Melibiose ,蜜二糖
39,α-Methyl-D-glucoside,α-D-甲基葡萄糖苷
40,Mucate ,粘液酸
41,Raffinose ,棉子糖
42,L-Rhamnose ,鼠李糖
43,Salicin ,水杨苷
44,d-Sorbitol ,山梨醇
45,Sucrose ,蔗糖
46,Trehalose ,海藻糖
47,d-Xylose ,木糖
%end%
%dict_taxn_name%
1,Escherichia spp,埃希氏菌属
2,Escherichia coli,大肠埃希氏菌
3,Escherichia col inactive,大肠埃希氏菌 不活泼
4,Escherichia blattae,蟑螂埃希氏菌
5,Escherichia fergusanii,弗格森埃希氏菌
6,Escherichia hermannii,赫氏埃希氏菌
7,Escherichia vulneris,伤口埃希氏菌
8,Budvicia aquatia,水生布特维西菌
9,Buttiauxella spp,布丘杆菌属
10,Buttiauxella agrestis,乡间布丘杆菌
11,Buttiauxella brennerae,无中文名
12,Buttiauxella ferragutiae,无中文名
13,Buttiauxella gaviniae,无中文名
14,Buttiauxella izardii,无中文名
15,Buttiauxella noackiae,诺氏布丘杆菌
16,Buttiauxella warmboldiae,无中文名
17,cedecea spp,西地西菌属
18,cedecea davisae,戴氏西地西菌
19,cedecea lapagei,拉氏西地西菌
20,cedecea neteri,奈氏西地西菌
21,cedecea species 3,西地西菌3号
22,cedecea species 5,西地西菌5号
23,Citrobacter spp,柠檬酸杆菌属
24,Citrobacter amalonaticus,无丙二酸盐柠檬酸杆菌
25,Citrobacter freundii,弗氏柠檬酸杆菌
26,Citrobacter braakii,布氏柠檬酸杆菌
